Name,Symbol,Mint Address,CoinGecko ID,Current Price (USD),Market Cap (USD),Total Volume (USD),Price Change 24h (%),Launch Date,Categories,DEX Volume (USD),DEX Liquidity (USD)
GIGACHAD,GIGA,63LfDmNb3MQ8mw9MtZ2To9bEA2M71kZUUGq5tiJxcqj9,gigachad-2,0.01850095,177610645.0,6279061.0,-1.00039,,"Solana Ecosystem, Meme, Solana Meme, Murad Picks","{'m5': '3394.5567016419', 'm15': '13794.389100546', 'm30': '17374.3925909929', 'h1': '28464.3616510317', 'h6': '156301.928374485', 'h24': '1306526.88895041'}",
STONKS,STONKS,6NcdiK8B5KK2DzKvzvCfqi8EHaEqu48fyEzC8Mm9pump,stonks-5,0.04184597,41587732.0,4754022.0,-1.8563,,"Solana Ecosystem, Meme, Pump.fun Ecosystem","{'m5': '2528.6542897989', 'm15': '4028.0785791886', 'm30': '20444.9087630762', 'h1': '68124.87879903', 'h6': '756276.668304306', 'h24': '2778608.17933363'}",
Vine Coin,VINE,6AJcP7wuLwmRYLBNbi825wgguaPsWzPBEHcHndpRpump,vine,0.03571863,35775400.0,50929750.0,-10.69451,,"Solana Ecosystem, Meme, Solana Meme, Pump.fun Ecosystem, Binance Alpha Spotlight","{'m5': '501.57919', 'm15': '3219.5237569285', 'm30': '8040.7713082793', 'h1': '13489.0292814353', 'h6': '429782.988796184', 'h24': '1314782.32185889'}",
Pudgy Penguins,PENGU,2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,pudgy-penguins,0.0048014,302216195.0,41383901.0,-6.71025,,"Solana Ecosystem, Meme, Solana Meme, Binance HODLer Airdrops, Airdropped Tokens by NFT Projects, Made in USA","{'m5': '795.3957877904', 'm15': '1074.3243833818', 'm30': '1074.3243833818', 'h1': '3073.6489906603', 'h6': '64740.2075895376', 'h24': '862653.159327303'}",
Melania Meme,MELANIA,FUAfBo2jgks6gB4Z4LfZkqSZgzNucisEHqnNebaRxM1P,melania-meme,0.438324,65895415.0,21711952.0,-6.31764,,"Solana Ecosystem, Meme, Solana Meme, PolitiFi, Made in USA","{'m5': '0.0', 'm15': '0.0', 'm30': '0.0', 'h1': '0.0', 'h6': '54084.6816588266', 'h24': '726188.844937272'}",
Housecoin,House,DitHyRMQiSDhn5cnKMJV2CDDt6sVct96YrECiM49pump,housecoin-2,0.01235198,12337571.0,7861582.0,-29.77664,,"Solana Ecosystem, Pump.fun Ecosystem","{'m5': '1934.6651896516', 'm15': '3191.6768676416', 'm30': '22451.4838991505', 'h1': '33959.4017595121', 'h6': '513002.029698917', 'h24': '4506002.26046811'}",
Solana Social Explorer,SSE,H4phNbsqjV5rqk8u6FUACTLB6rNZRTAPGnBb8KXJpump,solana-social-explorer,0.01126709,11294142.0,3794274.0,26.69719,,"Solana Ecosystem, Pump.fun Ecosystem","{'m5': '13498.6391030519', 'm15': '15470.2773908542', 'm30': '18592.4874575285', 'h1': '27482.6968605512', 'h6': '162215.794621684', 'h24': '868362.116430318'}",
ai16z,ai16z,HeLp6NuQkmYB4pYWo2zYs22mESHXPQYzXbB8n4V98jwC,ai16z,0.139242,153474940.0,63332618.0,2.4033,,"Artificial Intelligence (AI), Solana Ecosystem, Meme, Solana Meme, AI Meme, AI Agents, Binance Alpha Spotlight, AI Framework, Made in USA","{'m5': '10595.3205881712', 'm15': '23193.8056768554', 'm30': '43907.0258637955', 'h1': '103228.07786294', 'h6': '657690.624207486', 'h24': '3086145.93160555'}",
Metaplex Token,MPLX,METAewgxyPbgwsseH8T16a39CQ5VyVxZi9zXiDPY18m,metaplex,0.198846,155765645.0,4634786.0,2.45374,,"Gaming (GameFi), NFT, Solana Ecosystem, Animoca Brands Portfolio, FTX Holdings, Multicoin Capital Portfolio, Alameda Research Portfolio","{'m5': '825.6678861739', 'm15': '3737.2904385017', 'm30': '4675.6990883886', 'h1': '6056.5110862018', 'h6': '28705.7984987513', 'h24': '456501.474484291'}",
The Vault,vSOL,vSoLxydx6akxyMD9XEcPvGYNGq6Nn66oqVb3UkGkei7,the-vault-staked-sol,142.39,0.0,238662.0,-1.31784,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '166.6980972466', 'm15': '166.6980972466', 'm30': '166.6980972466', 'h1': '190.273951741', 'h6': '1564.3203728689', 'h24': '94339.1946032013'}",
Helium Network Token,HNT,hntyVP6YFm1Hg25TN9WGLqM12b8TQmcknKrdu1oxWux,helium,3.54,636185382.0,13109045.0,-8.18683,,"Communication, Internet of Things (IOT), Smart Contract Platform, Solana Ecosystem, DePIN, Multicoin Capital Portfolio, Proof of Stake (PoS), Alameda Research Portfolio, Pantera Capital Portfolio, Andreessen Horowitz (a16z) Portfolio, Made in USA, Coinbase 50 Index","{'m5': '635.9715729882', 'm15': '635.9715729882', 'm30': '973.7425210993', 'h1': '3073.6516756142', 'h6': '80064.6242948761', 'h24': '208999.744960952'}",
Drift Staked SOL,dSOL,Dso1bDeDjCQxTrWHqUUi63oBvV7Mdm6WaobLbQ7gnPQ,drift-staked-sol,145.92,184401379.0,224875.0,-1.16846,,"Solana Ecosystem, Liquid Staking Tokens, Liquid Staked SOL, Liquid Staking","{'m5': '18.8631734861', 'm15': '4250.2100414137', 'm30': '10239.3393992782', 'h1': '21800.895297192', 'h6': '141551.899337317', 'h24': '380373.785245081'}",
SPX6900 (Wormhole),SPX,J3NKxxXZcnNiMjKw9hYb2K4LUxgwB6t1FtPtQVsv3KFr,spx6900,0.497018,463231658.0,26067063.0,-8.40864,,"Solana Ecosystem, Meme, Ethereum Ecosystem, Base Ecosystem, Bridged-Tokens, Murad Picks, Stock market-themed","{'m5': '2328.3428705354', 'm15': '20743.8364360956', 'm30': '27969.4297751903', 'h1': '47042.7841607175', 'h6': '311743.202342995', 'h24': '1581109.71905146'}",
ORBIT,GRIFT,GekTNfm84QfyP2GdAHZ5AgACBRd69aNmgA5FDhZupump,orbit-3,0.01532037,13502721.0,4309232.0,3.32885,,"Solana Ecosystem, Meme, AI Agents, Pump.fun Ecosystem, Binance Alpha Spotlight, DeFAI","{'m5': '215.6577971027', 'm15': '1214.7309142963', 'm30': '5345.6899260445', 'h1': '11106.1794109523', 'h6': '165339.392620784', 'h24': '499319.635680577'}",
